,Serial Number,w2v_idealvalues,dotprod_calcvalues,pca_values,tSNE_values,newmethod_values
0,1,-0.012277881,-0.012277877,0.06437691270253239,-72.86525,5.2506222290744944e+26
1,2,0.026767734,0.026767742,-0.00011131549618933687,-2590.2012,-1.5849709225046194e+27
2,3,-0.017151177,-0.01715118,0.005185952969043388,516.86053,1.1620144634151213e+28
3,4,0.24472974,0.24472977,0.07204145350521166,2999.251,6.535738551833382e+26
4,5,0.09772274,0.09772273,-0.004385091593057069,-308.28772,-3.560068374301135e+27
5,6,-0.013525021,-0.013525025,0.036330159663220195,1496.3959,1.4748203939989648e+28
6,7,0.049444225,0.049444225,0.007194540768533566,3943.6614,2.1475779994870953e+28
7,8,0.11120694,0.111206956,0.012692135269384827,-1108.6455,-1.5760623723812094e+28
8,9,-0.067932874,-0.06793287,0.04975491762153281,2415.3367,4.1283445761477305e+27
9,10,0.052907106,0.052907094,0.030470924035213603,2670.6956,-8.975627685680706e+27
10,11,0.080697745,0.08069773,0.03232131759623819,1213.425,4.437857084782979e+27
11,12,0.024640938,0.02464094,-0.012401152508066313,-1532.7162,3.3385433822250896e+27
12,13,0.020322954,0.020322958,-0.040368834999019845,-157.85678,2.2504498801560335e+27
13,14,0.08330648,0.083306454,-0.056024835140130916,-3193.4814,8.652471799248911e+27
14,15,0.031032281,0.031032275,0.016235685114443992,3194.5469,1.6028896209217056e+28
15,16,0.08305906,0.08305909,-0.0010016783807141015,2027.6031,-1.8208366084599138e+28
16,17,0.10052616,0.10052615,0.1099407081923689,-4888.166,1.9927015033009926e+27
17,18,0.06375968,0.06375968,0.022891508307723588,-3492.98,-6.656393862073278e+26
18,19,-0.018061128,-0.018061114,-0.029058992801904715,-2941.5498,-4.5624027063199446e+26
19,20,0.039585855,0.03958586,-0.03014146307881643,250.01974,1.0727626731091807e+26
20,21,-0.029476158,-0.029476156,-0.15278450652376652,-2765.884,3.8053806909022456e+26
21,22,0.045151405,0.045151416,-0.022598597672450087,-2034.2542,2.801346081038919e+28
22,23,-0.022531573,-0.022531575,-0.026793167156812413,-2884.8542,-4.805282537779731e+26
23,24,-0.031499065,-0.03149907,-0.0646454064178302,-1690.3258,-2.556143833542277e+27
24,25,0.09277594,0.0927759,-0.042024386228639216,-2610.5598,3.2949690109277387e+27
25,26,-0.015832633,-0.015832622,-0.0357763201173108,-715.1435,3.59422966743713e+27
26,27,0.07798331,0.077983305,-0.015138989400320615,1065.7014,-1.4728238997066155e+28
27,28,0.071827,0.07182696,0.0276552532193872,-1127.5935,-2.8673435381755476e+27
28,29,0.04745062,0.047450602,-0.2397617339473999,-631.2575,-3.305415849460878e+26
29,30,0.06676299,0.066763,0.057897561400034506,-1293.3568,4.9381023363992703e+27
30,31,0.026882214,0.02688222,0.003813152831958322,54.494175,4.057072642367244e+28
31,32,-0.08769788,-0.087697804,-0.01654711087410539,3670.7085,1.2942433614790107e+27
32,33,0.1828627,0.1828627,0.17046663077827007,2287.4912,1.7770070240654416e+27
33,34,0.15273051,0.15273057,-0.038858360823918366,2109.559,1.2260419741256529e+27
34,35,0.0205686,0.020568624,0.07625641868178948,-2964.309,-4.0343503562737104e+27
35,36,0.050126657,0.050126657,0.018254565647434766,1023.63135,3.025402583126277e+27
36,37,0.050042752,0.050042763,0.047757577973624496,-2786.978,-8.048165828593077e+27
37,38,0.28621605,0.28621617,-0.0161956893256619,3513.9463,2.710652295402314e+27
38,39,0.051730152,0.051730167,-0.05836181754765477,1274.4242,3.0708011288635035e+27
39,40,-0.004596041,-0.0045960406,0.07211494700135367,4074.3755,3.81348777488456e+26
40,41,-0.019801801,-0.019801788,0.01968333269095901,107.78239,-7.950154009032241e+27
41,42,0.15639876,0.15639877,0.04425194628970759,938.1763,1.6357504464170883e+28
42,43,0.014469877,0.014469882,-0.011492957769992849,-1492.2937,-9.790475200670575e+27
43,44,0.09731754,0.09731755,0.026534255943348434,-1478.5317,9.228512351010572e+26
44,45,0.026936915,0.026936926,0.030562850686413564,-426.9488,-4.720779155730193e+27
45,46,0.06743166,0.067431696,-0.025796885507976937,-1735.8424,1.342063135034409e+27
46,47,0.22619322,0.22619328,-0.025152678589632115,2957.607,-1.5982975155561786e+28
47,48,0.11271166,0.11271164,-0.032145094000519916,-2407.808,9.451826392095975e+26
48,49,0.0960108,0.0960108,-0.06512661373887454,2100.9238,-5.4289224831768e+25
49,50,0.32343578,0.32343587,-0.11087980894676523,403.40225,5.7159189248003606e+26
50,51,-0.02074372,-0.020743722,-0.004829650046009196,1597.6423,0.0
51,52,0.07308407,0.073084086,0.011326621408326621,-882.27386,0.0
52,53,0.04954515,0.04954514,0.01132662140832662,-978.19836,0.0
53,54,0.15747188,0.15747191,0.01132662140832662,1044.1355,0.0
54,55,0.08741649,0.08741649,0.01132662140832662,1578.5508,0.0
55,56,0.05833045,0.058330413,0.01132662140832662,-1660.8281,0.0
56,57,0.07062295,0.070622966,0.01132662140832662,-274.68707,0.0
57,58,0.080497764,0.080497764,0.01132662140832662,-761.05725,0.0
58,59,0.048696984,0.048696987,0.01132662140832662,582.7585,0.0
59,60,0.04230424,0.042304255,0.01132662140832662,769.1089,0.0
60,61,0.036980875,0.03698087,0.01132662140832662,-776.02844,0.0
61,62,0.04153486,0.04153484,0.01132662140832662,383.1326,0.0
62,63,0.061166067,0.061166067,0.01132662140832662,-266.90356,0.0
63,64,0.050131593,0.0501316,0.01132662140832662,169.01682,0.0
64,65,0.03524383,0.035243824,0.01132662140832662,-1285.395,0.0
65,66,0.008731608,0.00873161,0.01132662140832662,455.70624,0.0
66,67,0.09411005,0.09411009,0.01132662140832662,-300.54837,0.0
67,68,0.10446789,0.10446796,0.01132662140832662,280.84888,0.0
68,69,0.0231402,0.023140186,0.01132662140832662,-153.51312,0.0
69,70,0.030853247,0.03085324,0.01132662140832662,-1226.5717,0.0
70,71,0.111793555,0.11179354,0.01132662140832662,-1571.323,0.0
71,72,-0.027876936,-0.02787693,0.01132662140832662,71.28546,0.0
72,73,0.05601045,0.056010447,0.01132662140832662,-161.17538,0.0
73,74,0.10739522,0.1073952,0.01132662140832662,-98.238045,0.0
74,75,0.14194408,0.14194411,0.01132662140832662,-188.28918,0.0
75,76,0.07377503,0.07377505,0.01132662140832662,-39.449852,0.0
76,77,0.16769242,0.16769238,0.01132662140832662,1053.2382,0.0
77,78,0.038487267,0.03848727,0.01132662140832662,381.79416,0.0
78,79,-0.005537324,-0.0055373143,0.01132662140832662,-66.469604,0.0
79,80,-1.9464824e-06,-1.9539111e-06,0.01132662140832662,218.73502,0.0
80,81,0.14177099,0.141771,0.01132662140832662,649.3937,0.0
81,82,0.15687022,0.15687028,0.01132662140832662,569.07904,0.0
82,83,0.08212881,0.08212879,0.01132662140832662,1613.4415,0.0
83,84,0.059118886,0.05911887,0.01132662140832662,-1698.9727,0.0
84,85,0.079134785,0.079134725,0.01132662140832662,1415.4578,0.0
85,86,0.07076124,0.07076123,0.01132662140832662,-131.92859,0.0
86,87,-0.051521994,-0.051521983,0.01132662140832662,1380.5908,0.0
87,88,0.047240775,0.047240775,0.01132662140832662,17.858643,0.0
88,89,0.03717833,0.037178352,0.01132662140832662,-752.09753,0.0
89,90,-0.06891694,-0.06891692,0.01132662140832662,392.5607,0.0
90,91,0.058179,0.058178972,0.01132662140832662,849.8821,0.0
91,92,0.0015001588,0.0015001527,0.01132662140832662,695.05743,0.0
92,93,0.012377464,0.012377459,0.01132662140832662,-1601.107,0.0
93,94,0.07831768,0.0783177,0.01132662140832662,1281.5817,0.0
94,95,0.04186198,0.041861974,0.01132662140832662,1085.3809,0.0
95,96,0.12187895,0.12187897,0.01132662140832662,-1475.5358,0.0
96,97,0.09566859,0.095668584,0.01132662140832662,2031.1827,0.0
97,98,0.13508055,0.1350805,0.01132662140832662,1860.6841,0.0
98,99,-0.0063325264,-0.0063325204,0.011326621408326621,1714.9875,0.0
99,100,0.04359064,0.043590628,0.011326621408326631,-373.87735,0.0
