,Serial Number,w2v_idealvalues,dotprod_calcvalues,pca_values,tSNE_values,newmethod_values
0,1,0.2446119,0.24461196,0.16823811211077414,-6818.88,0.04488033156335742
1,2,-0.008264124,-0.008264123,-0.002252504418632338,-1308.1334,0.029741318368488874
2,3,-0.073540635,-0.0735406,-0.026221155514537554,1580.1927,0.03552240593407768
3,4,0.023472082,0.023472061,0.03324509828660299,3360.7449,0.6191467978973859
4,5,0.052350897,0.05235091,0.008575973538089338,6854.895,0.11962634225721558
5,6,0.047982875,0.04798286,0.015000229395569872,-6739.219,0.06349786855003627
6,7,0.095358215,0.09535822,0.11082203195297306,-5599.6855,0.03101528828045038
7,8,0.047923073,0.04792308,0.013288374431725177,-10593.562,0.33105675596101286
8,9,0.060160313,0.06016034,0.0019473587199140985,-4708.486,0.2643680241160498
9,10,-0.022531573,-0.022531575,-0.015304618499454104,6157.596,0.04175299150763918
10,11,-0.007613274,-0.0076132687,-0.016242092744955215,-744.2767,0.19488226197102318
11,12,-0.02740084,-0.02740084,0.013628964184422002,-7306.9863,0.30758048006022487
12,13,0.033735156,0.033735164,-0.04340470988034044,-5198.235,0.10768563082173105
13,14,0.16034803,0.16034803,0.2342300729894985,5508.4487,0.15914351102166568
14,15,0.004584737,0.0045847474,0.019822731941713016,2134.9575,0.14728745751967165
15,16,0.021376323,0.021376323,-0.00904543250462352,95.567474,-0.05781205976479433
16,17,0.07957564,0.07957563,0.01358118256064928,4950.909,-0.3337252597712402
17,18,0.12741706,0.12741703,0.03492921680235396,-55.75761,-0.018982926657178687
18,19,0.21710956,0.21710962,0.0727022802305327,3707.7573,-0.018290982664784905
19,20,0.02510153,0.025101533,0.0755483355042699,4924.5625,-0.07760814286147663
20,21,0.017102148,0.01710215,0.06618992358506773,-651.2041,0.07039305342658336
21,22,0.11364813,0.11364811,-0.06945275133085563,-5628.494,0.08619246643410547
22,23,0.18547496,0.1854749,0.01321305290362287,3953.6353,-0.1847730632037119
23,24,0.2952584,0.2952584,-0.09473896674525799,-11677.594,0.13863212275546247
24,25,0.052407745,0.052407764,0.04547457558121065,6538.259,-0.0028797308253496598
25,26,0.008720952,0.008720961,-0.02505552189512822,-9673.374,0.06763230273568432
26,27,-0.08295619,-0.08295614,-0.012079485889572493,-6926.31,0.11389602382930865
27,28,0.33763763,0.33763754,0.051551617314313944,1481.8815,-0.08413425888308189
28,29,0.07944898,0.079448976,-0.15811152197748876,6222.5337,0.060222402492958745
29,30,0.081870966,0.081870906,0.014934428195558777,-478.1402,-0.058292318908583954
30,31,-0.043784663,-0.043784644,0.018139915640092645,8319.814,-0.19296771077466135
31,32,0.06329466,0.06329463,0.10424141242002172,-4730.158,0.034197698391274886
32,33,-0.02771395,-0.027713947,-0.00031797543265984184,-10882.028,0.18428308568176371
33,34,0.14608581,0.14608578,0.06585174267226154,-7973.882,0.016519720898209803
34,35,0.35710236,0.3571024,0.02224833698022194,-1064.6975,0.06667797872684429
35,36,-0.08420493,-0.08420491,0.008570324504448348,4139.112,0.20816463735767715
36,37,-0.019714797,-0.019714804,0.013650965130681949,-4904.801,0.020721370531486576
37,38,0.06623379,0.06623379,-0.011246683316178663,-3618.938,-0.030190854731879
38,39,0.047813077,0.047813088,0.020742881202639958,6779.338,0.08197109710129177
39,40,0.028843204,0.028843205,-0.013122589984745334,4424.8604,0.020255790583568276
40,41,-0.020571226,-0.02057124,-0.04511228359629358,-7183.337,0.10421641963554626
41,42,0.103578,0.103577964,6.182526141406547e-05,7651.0693,-0.1682309604505695
42,43,-0.018556627,-0.018556634,0.05826755537512075,4292.7607,0.017162708730660073
43,44,0.23867443,0.23867434,-0.04977932576805629,-8659.637,0.14936477647228874
44,45,0.09275715,0.09275719,-0.012235580502634406,-5729.1084,0.056265332175427854
45,46,0.026473096,0.026473122,-0.003171887166564198,3866.6335,0.05284793884364329
46,47,0.21855994,0.21856003,0.016782766293024436,8382.832,-0.17257042530519434
47,48,0.075006895,0.07500691,-0.01903122039340306,-5115.559,0.29641576296239996
48,49,0.012988286,0.012988282,-0.005182975673394108,-1539.7134,0.13521649727433963
49,50,0.07224503,0.07224501,0.02144688812715838,2204.9092,0.09627875169877165
50,51,-0.010722332,-0.0107223345,-0.03685782960171514,1919.9142,0.0
51,52,0.10960901,0.10960898,0.014618822701536804,654.48126,0.0
52,53,-0.03556019,-0.035560194,0.014618822701536804,-318.5127,0.0
53,54,0.123059995,0.123060025,0.014618822701536803,1545.1852,0.0
54,55,0.17462109,0.1746211,0.014618822701536803,-172.17534,0.0
55,56,0.089437634,0.08943761,0.014618822701536803,-1237.349,0.0
56,57,0.05428616,0.05428615,0.014618822701536803,-1759.115,0.0
57,58,0.083179675,0.083179645,0.014618822701536803,-3551.427,0.0
58,59,-0.07477016,-0.07477012,0.014618822701536803,432.3443,0.0
59,60,0.014676072,0.014676071,0.014618822701536803,1583.8694,0.0
60,61,0.065029696,0.065029725,0.014618822701536803,327.4152,0.0
61,62,0.053884503,0.053884506,0.014618822701536803,99.50075,0.0
